ID,AREA,DEPENDENCIA,DEPENDENCIA SIMPLIF,NOMBRE ESTABLECIMIENTO,NOMBRE + OTRAS DENOMINACIONES,PROVINCIA,MUNICIPIO / DEPARTAMENTO,LOCALIDAD,DIRECCIÓN,DIRECCIÓN CONCAT,OBS,PÁG PDF,LATITUD,LONGITUD
911,321,UNIDAD MILITAR EJERCITO,EJÉRCITO,COMANDO DE BRIGADA DE INFANTERIA V ,COMANDO DE BRIGADA DE INFANTERIA V / UNIDAD DE COMANDO SUBZONA 32 / Cdo Br I V,TUCUMAN,SAN MIGUEL DE TUCUMAN,,LAPRIDA 1000,"COMANDO DE BRIGADA DE INFANTERIA V / UNIDAD DE COMANDO SUBZONA 32 / Cdo Br I V, LAPRIDA 1000, TUCUMAN, SAN MIGUEL DE TUCUMAN, ",,63,-26.8082848,-65.2175903
982,321,DEPENDENCIA POLICIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,COMISARIA 13ª DE TUCUMAN,COMISARIA 13ª DE TUCUMAN,TUCUMAN,SAN MIGUEL DE TUCUMAN,,Av. BENJAMIN ARAOZ 1095 (esq. Av. SILVANO BORES),"COMISARIA 13ª DE TUCUMAN, Av. BENJAMIN ARAOZ 1095 (esq. Av. SILVANO BORES), TUCUMAN, SAN MIGUEL DE TUCUMAN, ",,63,-26.8358659,-65.1812863
548,321,DEPENDENCIA POLICIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,COMISARIA 1ª DE TUCUMAN,COMISARIA 1ª DE TUCUMAN,TUCUMAN,SAN MIGUEL DE TUCUMAN,,SAN MARTIN 224,"COMISARIA 1ª DE TUCUMAN, SAN MARTIN 224, TUCUMAN, SAN MIGUEL DE TUCUMAN, ",,63,-26.8306465,-65.2004171
406,321,DEPENDENCIA POLICIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,COMISARIA 3ª DE TUCUMAN,COMISARIA 3ª DE TUCUMAN,TUCUMAN,SAN MIGUEL DE TUCUMAN,,LAMADRID 2556,"COMISARIA 3ª DE TUCUMAN, LAMADRID 2556, TUCUMAN, SAN MIGUEL DE TUCUMAN, ",,63,-26.8311006,-65.2380425
405,321,DEPENDENCIA POLICIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,COMISARIA 4ª DE TUCUMAN,COMISARIA 4ª DE TUCUMAN,TUCUMAN,SAN MIGUEL DE TUCUMAN,,Diag. EUGENIO MENDEZ 369,"COMISARIA 4ª DE TUCUMAN, Diag. EUGENIO MENDEZ 369, TUCUMAN, SAN MIGUEL DE TUCUMAN, ",NO INCLUIDO EN ANEXO 2006,63,-26.8509049,-65.1981075
925,321,DEPENDENCIA POLICIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,COMISARIA 8ª DE TUCUMAN,COMISARIA 8ª DE TUCUMAN,TUCUMAN,SAN MIGUEL DE TUCUMAN,,Av. H. POVIÑA y ALSINA / LAMADRID 2500 [VER],"COMISARIA 8ª DE TUCUMAN, Av. H. POVIÑA y ALSINA / LAMADRID 2500 [VER], TUCUMAN, SAN MIGUEL DE TUCUMAN, ",,63,-26.8082848,-65.2175903
1275,321,UNIDAD MILITAR EJERCITO,EJÉRCITO,COMPAÑIA DE COMUNICACIONES 5 ,COMPAÑIA DE COMUNICACIONES 5 / BATALLON V DE COMUNICACIONES,TUCUMAN,SAN MIGUEL DE TUCUMAN,,LAPRIDA 1000,"COMPAÑIA DE COMUNICACIONES 5 / BATALLON V DE COMUNICACIONES, LAPRIDA 1000, TUCUMAN, SAN MIGUEL DE TUCUMAN, ",COMANDO BRIGADA DE INFANTERIA V,63,-26.817434,-65.20004
308,321,DEPENDENCIA POLICIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,CUARTEL DE BOMBEROS DE TUCUMAN,CUARTEL DE BOMBEROS DE TUCUMAN,TUCUMAN,SAN MIGUEL DE TUCUMAN,,LAPRIDA 1000,"CUARTEL DE BOMBEROS DE TUCUMAN, LAPRIDA 1000, TUCUMAN, SAN MIGUEL DE TUCUMAN, ",,63,-26.817434,-65.20004
462,321,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,"DELEGACION ""TUCUMAN"" DE LA POLICIA FEDERAL","DELEGACION ""TUCUMAN"" DE LA POLICIA FEDERAL",TUCUMAN,SAN MIGUEL DE TUCUMAN,,SANTA FE 630,"DELEGACION ""TUCUMAN"" DE LA POLICIA FEDERAL, SANTA FE 630, TUCUMAN, SAN MIGUEL DE TUCUMAN, ",,63,-26.819919,-65.2042518
95,321,DEPENDENCIA ESTATAL,OTROS,EL REFORMATORIO ,EL REFORMATORIO / COLONIA DE MENORES / HOGAR DE MENORES / CENTRO DE BOY-SCOUTS,TUCUMAN,SAN MIGUEL DE TUCUMAN,,RIVADAVIA y Av. LAS BASES (FCO. DE AGUIRRE),"EL REFORMATORIO / COLONIA DE MENORES / HOGAR DE MENORES / CENTRO DE BOY-SCOUTS, RIVADAVIA y Av. LAS BASES (FCO. DE AGUIRRE), TUCUMAN, SAN MIGUEL DE TUCUMAN, ",A pocos minutos de San Miguel de Tucumán y a 2 cuadras del río o arroyo cercano a esa capital,63,-26.8111187,-65.1968534
